Date,Temp Forecast (C) ,Day of Week,Holiday,Peak,Shoulder,Off Peak
6/7/2019,25.45,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
7/7/2019,25.63,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
8/7/2019,25.32,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/7/2019,25.11,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/7/2019,25.8,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/7/2019,25.38,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/7/2019,26.04,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/7/2019,26.31,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
14/7/2019,26.13,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
15/7/2019,25.06,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/7/2019,25.53,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/7/2019,25.14,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/7/2019,25.03,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/7/2019,25.25,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/7/2019,25.63,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
21/7/2019,25.93,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
22/7/2019,25.22,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/7/2019,25.41,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/7/2019,25.88,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/7/2019,25.42,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/7/2019,25.81,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/7/2019,25.92,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
28/7/2019,25.72,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
29/7/2019,25.61,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/7/2019,25.66,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/7/2019,24.5,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
1/8/2019,24.26,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
2/8/2019,24.55,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/8/2019,25.33,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
4/8/2019,25.25,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
5/8/2019,25.12,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/8/2019,25.46,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/8/2019,25.27,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/8/2019,24.97,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/8/2019,25.16,Friday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/8/2019,25.52,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
11/8/2019,25.83,Sunday,Yes,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
12/8/2019,25.54,Monday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/8/2019,25.86,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/8/2019,25.98,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
15/8/2019,25.48,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/8/2019,25.07,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/8/2019,25.3,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
18/8/2019,24.86,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
19/8/2019,24.73,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/8/2019,25.22,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/8/2019,25.37,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/8/2019,25.7,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/8/2019,25.01,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/8/2019,24.78,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
25/8/2019,25.13,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
26/8/2019,25.14,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/8/2019,24.75,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/8/2019,24.5,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/8/2019,25.42,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/8/2019,24.87,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/8/2019,24.18,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
1/9/2019,25.1,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
2/9/2019,25.61,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/9/2019,25.85,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/9/2019,25.18,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/9/2019,25.31,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/9/2019,25.42,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/9/2019,25.14,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
8/9/2019,25.2,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
9/9/2019,25.47,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/9/2019,25.43,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/9/2019,25.14,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
