DATE,PERIOD,USEP,Model_1,Model_2,Forecast_Baseline,Random_Jitter,Updated_Model
1/11/2019,1,68.9,63.85850898,81.58,72.71925449,1,68.9
1/11/2019,2,68.88,63.49623836,82.97,73.23311918,1.06,73.0128
1/11/2019,3,68.67,63.2400666,82.97,73.1050333,1.02,70.0434
1/11/2019,4,67.75,62.99887486,76.27,69.63443743,0.97,65.7175
1/11/2019,5,67.49,62.81262904,72.97,67.89131452,0.97,65.4653
1/11/2019,6,65.6,62.65503716,72.97,67.81251858,1.06,69.536
1/11/2019,7,65.43,62.53073719,30.41,46.47036859,1.1,71.973
1/11/2019,8,65.33,62.45204672,30.41,46.43102336,1.09,71.2097
1/11/2019,9,65.33,62.427161,30.41,46.4185805,0.98,64.0234
1/11/2019,10,65.34,62.48218061,30.41,46.44609031,0.98,64.0332
1/11/2019,11,65.62,62.7026875,49.45,56.07634375,0.99,64.9638
1/11/2019,12,67.48,63.1375212,76.27,69.7037606,1.08,72.8784
1/11/2019,13,68.51,63.68444741,82.97,73.3272237,0.99,67.8249
1/11/2019,14,74.47,64.17875724,81.05,72.61437862,0.92,68.5124
1/11/2019,15,74.5,73.75891496,89.25,81.50445748,0.91,67.795
1/11/2019,16,76.81,74.59177342,75.66,75.12588671,0.96,73.7376
1/11/2019,17,81.02,75.44667712,75.66,75.55333856,0.92,74.5384
1/11/2019,18,75.95,84.98365453,83.86,84.42182726,1.06,80.507
1/11/2019,19,79.14,85.31805826,85.35,85.33402913,0.93,73.6002
1/11/2019,20,79.57,85.51933772,81.86,83.68966886,0.91,72.4087
1/11/2019,21,78.42,85.68047599,90.35,88.01523799,1.05,82.341
1/11/2019,22,84.67,85.76687712,86.35,86.05843856,1.01,85.5167
1/11/2019,23,78.77,85.71664208,90.74,88.22832104,1.03,81.1331
1/11/2019,24,75.34,85.53056264,86.35,85.94028132,0.99,74.5866
1/11/2019,25,73.77,85.35542335,85.35,85.35271168,1.02,75.2454
1/11/2019,26,78.45,85.39204755,86.11,85.75102377,1.07,83.9415
1/11/2019,27,75.34,85.528958,86.34,85.934479,1.07,80.6138
1/11/2019,28,75.35,85.62642318,159.78,122.7032116,0.96,72.336
1/11/2019,29,75.85,85.64686783,91.51,88.57843392,1.1,83.435
1/11/2019,30,75.84,85.61097562,91.51,88.56048781,1.09,82.6656
1/11/2019,31,75.75,85.60415965,91.15,88.37707982,0.9,68.175
1/11/2019,32,75.29,85.61660899,90.35,87.9833045,1.06,79.8074
1/11/2019,33,75.06,85.58276524,90.35,87.96638262,0.99,74.3094
1/11/2019,34,75.17,85.47990504,83.71,84.59495252,1.07,80.4319
1/11/2019,35,75.28,85.26269633,83.26,84.26134817,1.08,81.3024
