Date,From time,To time,Name,Latitude,Longitude,Condition
1/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
1/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
1/12/2019,0:00,23:30,PacificLight Power ,1.286848,103.722708,Details of condition - [Hidden]
1/12/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Details of condition - [Hidden]
1/12/2019,8:30,9:00,Keppel Merlimau Cogen ,1.282498,103.675245,Details of condition - [Hidden]
2/12/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
2/12/2019,0:00,23:30,Shell Eastern Petroleum ,1.228974,103.767913,Details of condition - [Hidden]
2/12/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Details of condition - [Hidden]
2/12/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Details of condition - [Hidden]
2/12/2019,15:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
2/12/2019,15:00,23:30,SembCorp Cogen ,1.256499,103.701611,Details of condition - [Hidden]
2/12/2019,15:00,23:30,SembCorp Cogen ,1.256499,103.701611,Details of condition - [Hidden]
2/12/2019,15:00,23:30,Tuaspring ,1.301691,103.623691,Details of condition - [Hidden]
2/12/2019,20:00,21:00,Tuaspring ,1.301691,103.623691,Details of condition - [Hidden]
2/12/2019,20:00,21:00,Singapore Refining Company ,1.290862,103.712448,Details of condition - [Hidden]
3/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
3/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
3/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
3/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
3/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
3/12/2019,0:00,23:30,TP Utilities ,1.266428,103.672143,Details of condition - [Hidden]
3/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
3/12/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
3/12/2019,14:00,15:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
3/12/2019,14:00,15:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
3/12/2019,20:00,21:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
3/12/2019,20:00,21:00,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
4/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
4/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
4/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
4/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
4/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
4/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
4/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
4/12/2019,17:00,18:00,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
4/12/2019,17:00,18:00,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
4/12/2019,20:00,21:00,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
4/12/2019,20:00,21:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
5/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
5/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
5/12/2019,0:00,19:00,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
5/12/2019,0:00,19:00,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
5/12/2019,0:00,19:00,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
5/12/2019,0:00,19:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
5/12/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
5/12/2019,13:30,15:00,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
5/12/2019,13:30,15:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
5/12/2019,14:00,15:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
5/12/2019,14:00,15:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
5/12/2019,20:00,21:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
5/12/2019,20:00,21:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
6/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
6/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
6/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
6/12/2019,18:30,19:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
6/12/2019,18:30,19:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
7/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
7/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
7/12/2019,0:00,23:30,PacificLight Power ,1.286848,103.722708,Details of condition - [Hidden]
7/12/2019,14:30,15:30,Keppel Merlimau Cogen ,1.282498,103.675245,Details of condition - [Hidden]
7/12/2019,14:30,15:30,Keppel Merlimau Cogen ,1.282498,103.675245,Details of condition - [Hidden]
7/12/2019,17:00,18:00,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
7/12/2019,17:00,18:00,Shell Eastern Petroleum ,1.228974,103.767913,Details of condition - [Hidden]
8/12/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Details of condition - [Hidden]
8/12/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Details of condition - [Hidden]
8/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
8/12/2019,9:30,10:00,SembCorp Cogen ,1.256499,103.701611,Details of condition - [Hidden]
8/12/2019,12:00,23:30,SembCorp Cogen ,1.256499,103.701611,Details of condition - [Hidden]
9/12/2019,0:00,23:30,Tuaspring ,1.301691,103.623691,Details of condition - [Hidden]
9/12/2019,0:00,23:30,Tuaspring ,1.301691,103.623691,Details of condition - [Hidden]
9/12/2019,0:00,23:30,Singapore Refining Company ,1.290862,103.712448,Details of condition - [Hidden]
9/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
9/12/2019,17:00,18:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
9/12/2019,17:00,18:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
9/12/2019,23:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
10/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
10/12/2019,0:00,23:30,TP Utilities ,1.266428,103.672143,Details of condition - [Hidden]
10/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
10/12/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
10/12/2019,17:00,18:00,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
10/12/2019,17:00,18:00,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
11/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
11/12/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
11/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
11/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
11/12/2019,9:00,9:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
12/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
12/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
12/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
12/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
12/12/2019,18:00,19:00,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
12/12/2019,18:00,18:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
12/12/2019,18:00,19:00,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
13/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
13/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
13/12/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
13/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
14/12/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
14/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
14/12/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
14/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
15/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
15/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
15/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
15/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
15/12/2019,18:30,19:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
16/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
16/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
16/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
16/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
17/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
17/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
17/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
17/12/2019,0:00,23:30,PacificLight Power ,1.286848,103.722708,Details of condition - [Hidden]
18/12/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Details of condition - [Hidden]
18/12/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Details of condition - [Hidden]
18/12/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
18/12/2019,17:30,18:30,Shell Eastern Petroleum ,1.228974,103.767913,Details of condition - [Hidden]
18/12/2019,17:30,18:30,Senoko Waste-To-Energy ,1.265026,103.818275,Details of condition - [Hidden]
18/12/2019,17:30,18:00,Senoko Waste-To-Energy ,1.265026,103.818275,Details of condition - [Hidden]
19/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
19/12/2019,0:00,23:30,SembCorp Cogen ,1.256499,103.701611,Details of condition - [Hidden]
19/12/2019,0:00,23:30,SembCorp Cogen ,1.256499,103.701611,Details of condition - [Hidden]
