MMYYYY,USEP,TYPE
2013-01,191.62,Actual
2013-02,166.35,Actual
2013-03,166.2,Actual
2013-04,178.97,Actual
2013-05,173.83,Actual
2013-06,201.37,Actual
2013-07,172.74,Actual
2013-08,199.63,Actual
2013-09,163.29,Actual
2013-10,159.35,Actual
2013-11,158.19,Actual
2013-12,146.93,Actual
2014-01,138.69,Actual
2014-02,142.88,Actual
2014-03,136.03,Actual
2014-04,150.13,Actual
2014-05,132.84,Actual
2014-06,141.73,Actual
2014-07,155.74,Actual
2014-08,140.46,Actual
2014-09,138.03,Actual
2014-10,136.72,Actual
2014-11,135.34,Actual
2014-12,92.59,Actual
2015-01,90.62,Actual
2015-02,93.29,Actual
2015-03,81.72,Actual
2015-04,98.1,Actual
2015-05,103.18,Actual
2015-06,107.84,Actual
2015-07,144.92,Actual
2015-08,102.43,Actual
2015-09,81.49,Actual
2015-10,66.87,Actual
2015-11,56.84,Actual
2015-12,60.66,Actual
2016-01,74.89,Actual
2016-02,49.06,Actual
2016-03,44.81,Actual
2016-04,43.6,Actual
2016-05,55.54,Actual
2016-06,49.1,Actual
2016-07,62.94,Actual
2016-08,67.12,Actual
2016-09,77.72,Actual
2016-10,71.89,Actual
2016-11,72.99,Actual
2016-12,88.43,Actual
2017-01,84.56,Actual
2017-02,84.75,Actual
2017-03,76.42,Actual
2017-04,82.68,Actual
2017-05,82.5,Actual
2017-06,84.13,Actual
2017-07,79.21,Actual
2017-08,73.4,Actual
2017-09,74.77,Actual
2017-10,77.55,Actual
2017-11,83.82,Actual
2017-12,87.44,Actual
2018-01,86.1,Actual
2018-02,98.57,Actual
2018-03,104.31,Actual
2018-04,103.33,Actual
2018-05,112.56,Actual
2018-06,110.71,Actual
2018-07,108.06,Actual
2018-08,112.89,Actual
2018-09,117.33,Actual
2018-10,154.02,Actual
2018-11,114.21,Actual
2018-12,100.44,Actual
2019-01,112.57,Actual
2019-02,115.17,Actual
2019-03,113.54,Actual
2019-04,99.62,Actual
2019-05,93.28,Actual
2019-06,89.84,Actual
2019-07,106.74,Forecasted
2019-08,97.74,Forecasted
2019-09,96.55,Forecasted
2019-10,93.98,Forecasted
2019-11,91.89,Forecasted
2019-12,91.46,Forecasted
2020-01,110.48,Forecasted
2020-02,108.02,Forecasted
2020-03,92,Forecasted
2020-04,91.61,Forecasted
2020-05,78.04,Forecasted
2020-06,82.75,Forecasted
2020-07,85.02,Forecasted
2020-08,84.71,Forecasted
2020-09,83.04,Forecasted
2020-10,86.38,Forecasted
2020-11,83.28,Forecasted
2020-12,81.65,Forecasted
2021-01,101,Forecasted
2021-02,101.79,Forecasted
2021-03,101.67,Forecasted
2021-04,103.86,Forecasted
2021-05,103.53,Forecasted
2021-06,107.03,Forecasted
2021-07,110.73,Forecasted
2021-08,108.59,Forecasted
2021-09,105.23,Forecasted
2021-10,107.38,Forecasted
2021-11,103.9,Forecasted
2021-12,101.85,Forecasted
2022-01,105.22,Forecasted
2022-02,105.78,Forecasted
2022-03,105.43,Forecasted
2022-04,107.41,Forecasted
2022-05,106.9,Forecasted
2022-06,110.35,Forecasted
2022-07,113.97,Forecasted
2022-08,111.75,Forecasted
2022-09,108.3,Forecasted
2022-10,110.34,Forecasted
2022-11,106.81,Forecasted
2022-12,104.65,Forecasted
2023-01,108.67,Forecasted
2023-02,109.16,Forecasted
2023-03,108.76,Forecasted
2023-04,110.61,Forecasted
2023-05,109.99,Forecasted
2023-06,113.39,Forecasted
2023-07,116.98,Forecasted
2023-08,114.74,Forecasted
2023-09,111.28,Forecasted
2023-10,113.31,Forecasted
2023-11,109.83,Forecasted
2023-12,107.67,Forecasted
