,MMYYYY,USEP,TYPE,USEP_m
0,2020-01,110.48,Forecasted,110.48
1,2020-02,108.02,Forecasted,108.02
2,2020-03,92.0,Forecasted,92.0
3,2020-04,91.61,Forecasted,91.61
4,2020-05,78.04,Forecasted,78.04
5,2020-06,82.75,Forecasted,82.75
6,2020-07,85.02,Forecasted,85.02
7,2020-08,84.71,Forecasted,84.71
8,2020-09,83.04,Forecasted,83.04
9,2020-10,86.38,Forecasted,86.38
10,2020-11,83.28,Forecasted,83.28
11,2020-12,81.65,Forecasted,81.65
12,2021-01,101.0,Forecasted,101.0
13,2021-02,101.79,Forecasted,101.79
14,2021-03,101.67,Forecasted,101.67
15,2021-04,103.86,Forecasted,103.86
16,2021-05,103.53,Forecasted,103.53
17,2021-06,107.03,Forecasted,107.03
18,2021-07,110.73,Forecasted,110.73
19,2021-08,108.59,Forecasted,108.59
20,2021-09,105.23,Forecasted,105.23
21,2021-10,107.38,Forecasted,107.38
22,2021-11,103.9,Forecasted,103.9
23,2021-12,101.85,Forecasted,101.85
24,2022-01,105.22,Forecasted,105.22
25,2022-02,105.78,Forecasted,105.78
26,2022-03,105.43,Forecasted,105.43
27,2022-04,107.41,Forecasted,107.41
28,2022-05,106.9,Forecasted,106.9
29,2022-06,110.35,Forecasted,110.35
30,2022-07,113.97,Forecasted,113.97
31,2022-08,111.75,Forecasted,154.08
32,2022-09,108.3,Forecasted,108.3
33,2022-10,110.34,Forecasted,110.34
34,2022-11,106.81,Forecasted,106.81
35,2022-12,104.65,Forecasted,104.65
36,2023-01,108.67,Forecasted,108.67
37,2023-02,109.16,Forecasted,109.16
38,2023-03,108.76,Forecasted,108.76
39,2023-04,110.61,Forecasted,110.61
40,2023-05,109.99,Forecasted,109.99
41,2023-06,113.39,Forecasted,113.39
42,2023-07,116.98,Forecasted,116.98
43,2023-08,114.74,Forecasted,114.74
44,2023-09,111.28,Forecasted,111.28
45,2023-10,113.31,Forecasted,113.31
46,2023-11,109.83,Forecasted,109.83
47,2023-12,107.67,Forecasted,107.67
